"filename", "language", "HTML", "PHP", "JavaScript", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\equipo.html", "HTML", 439, 0, 0, 0, 7, 86, 532
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\equipo_compañeros.html", "HTML", 339, 0, 0, 0, 13, 85, 437
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\estadisticas.html", "HTML", 245, 0, 0, 0, 6, 75, 326
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\estadisticas_personales.html", "HTML", 182, 0, 0, 0, 6, 64, 252
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\partidos.html", "HTML", 331, 0, 0, 0, 7, 63, 401
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\partidos_equipo.html", "HTML", 322, 0, 0, 0, 6, 63, 391
"c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\usuario\torneo.html", "HTML", 456, 0, 0, 0, 10, 209, 675
"c:\xampp\htdocs\S.I.G.D\Frontend\index.html", "HTML", 238, 0, 0, 0, 6, 51, 295
"c:\xampp\htdocs\S.I.G.D\Frontend\js\adminCargarUsuario.js", "JavaScript", 0, 0, 150, 0, 0, 44, 194
"c:\xampp\htdocs\S.I.G.D\Frontend\js\bootstrap.min.js", "JavaScript", 0, 0, 1, 0, 6, 0, 7
"c:\xampp\htdocs\S.I.G.D\Frontend\js\buscador.js", "JavaScript", 0, 0, 8, 0, 0, 7, 15
"c:\xampp\htdocs\S.I.G.D\Frontend\js\equipo.js", "JavaScript", 0, 0, 225, 0, 2, 71, 298
"c:\xampp\htdocs\S.I.G.D\Frontend\js\estadistica.js", "JavaScript", 0, 0, 21, 0, 0, 5, 26
"c:\xampp\htdocs\S.I.G.D\Frontend\js\formularios.js", "JavaScript", 0, 0, 32, 0, 0, 8, 40
"c:\xampp\htdocs\S.I.G.D\Frontend\js\partidos.js", "JavaScript", 0, 0, 129, 0, 2, 51, 182
"c:\xampp\htdocs\S.I.G.D\Frontend\js\perfiles.js", "JavaScript", 0, 0, 61, 0, 0, 34, 95
"c:\xampp\htdocs\S.I.G.D\Frontend\js\torneo.js", "JavaScript", 0, 0, 165, 0, 0, 91, 256
"Total", "-", 21168, 685, 792, 1678, 505, 7101, 31929
