Date : 2022-11-06 01:38:33
Directory : c:\xampp\htdocs\S.I.G.D
Total : 120 files,  24323 codes, 505 comments, 7101 blanks, all 31929 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |         89 |     21,168 |        474 |      6,317 |     27,959 |
| CSS        |          6 |      1,678 |          9 |        224 |      1,911 |
| JavaScript |          9 |        792 |         10 |        311 |      1,113 |
| PHP        |         16 |        685 |         12 |        249 |        946 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        120 |     24,323 |        505 |      7,101 |     31,929 |
| Backend                                                                                |         16 |        685 |         12 |        249 |        946 |
| Backend\App                                                                            |         14 |        656 |          9 |        238 |        903 |
| Backend\App\Controladores                                                              |          8 |        301 |          9 |        129 |        439 |
| Backend\App\Modelo                                                                     |          5 |        345 |          0 |        108 |        453 |
| Backend\App\Utils                                                                      |          1 |         10 |          0 |          1 |         11 |
| Backend\config                                                                         |          1 |         19 |          3 |          5 |         27 |
| Frontend                                                                               |        104 |     23,638 |        493 |      6,852 |     30,983 |
| Frontend\css                                                                           |          6 |      1,678 |          9 |        224 |      1,911 |
| Frontend\css\arcanet                                                                   |          1 |         90 |          0 |          7 |         97 |
| Frontend\css\index                                                                     |          1 |        411 |          1 |         54 |        466 |
| Frontend\css\información                                                               |          1 |        305 |          1 |         58 |        364 |
| Frontend\css\roles                                                                     |          2 |        871 |          1 |        105 |        977 |
| Frontend\html                                                                          |         88 |     20,930 |        468 |      6,266 |     27,664 |
| Frontend\html\arcanet                                                                  |          2 |        123 |          0 |         71 |        194 |
| Frontend\html\información                                                              |         10 |      1,573 |         57 |        672 |      2,302 |
| Frontend\html\información\deportes                                                     |          3 |        564 |         17 |        264 |        845 |
| Frontend\html\información\emt_deportes                                                 |          3 |        472 |         18 |        213 |        703 |
| Frontend\html\información\sigd                                                         |          2 |        308 |         12 |        114 |        434 |
| Frontend\html\información\sugerencias                                                  |          1 |        160 |          6 |         47 |        213 |
| Frontend\html\roles                                                                    |         76 |     19,234 |        411 |      5,523 |     25,168 |
| Frontend\html\roles\administrador                                                      |         20 |      4,568 |         93 |      1,203 |      5,864 |
| Frontend\html\roles\administrativo                                                     |          7 |      1,394 |         33 |        523 |      1,950 |
| Frontend\html\roles\analista                                                           |         10 |      2,288 |         44 |        668 |      3,000 |
| Frontend\html\roles\deportista                                                         |          9 |      2,631 |         54 |        658 |      3,343 |
| Frontend\html\roles\entrenador                                                         |          8 |      1,883 |         38 |        621 |      2,542 |
| Frontend\html\roles\juez                                                               |          8 |      1,760 |         43 |        576 |      2,379 |
| Frontend\html\roles\scout                                                              |          7 |      2,396 |         51 |        629 |      3,076 |
| Frontend\html\roles\usuario                                                            |          7 |      2,314 |         55 |        645 |      3,014 |
| Frontend\js                                                                            |          9 |        792 |         10 |        311 |      1,113 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                               | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\AdminCargarUsuarioController.php     | PHP        |         32 |          0 |         10 |         42 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\UsuarioController.php                | PHP        |         81 |          4 |         24 |        109 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\equipoController.php                 | PHP        |         20 |          0 |         13 |         33 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\logoutController.php                 | PHP        |         15 |          2 |          5 |         22 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\partidosController.php               | PHP        |         35 |          0 |         26 |         61 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\profileController.php                | PHP        |         58 |          1 |         21 |         80 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\sessionController.php                | PHP        |         25 |          2 |         10 |         37 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Controladores\torneoController.php                 | PHP        |         35 |          0 |         20 |         55 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\AdminCargarUsuario.php                      | PHP        |         15 |          0 |          7 |         22 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Equipo.php                                  | PHP        |        106 |          0 |         34 |        140 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Partidos.php                                | PHP        |         39 |          0 |         21 |         60 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Torneo.php                                  | PHP        |         48 |          0 |         23 |         71 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Modelo\Usuario.php                                 | PHP        |        137 |          0 |         23 |        160 |
| c:\xampp\htdocs\S.I.G.D\Backend\App\Utils\util.php                                     | PHP        |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\S.I.G.D\Backend\config\Conexion.php                                    | PHP        |         19 |          3 |          5 |         27 |
| c:\xampp\htdocs\S.I.G.D\Backend\index.php                                              | PHP        |         10 |          0 |          6 |         16 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\arcanet\arcanet.css                               | CSS        |         90 |          0 |          7 |         97 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\bootstrap.min.css                                 | CSS        |          1 |          6 |          0 |          7 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\index\index.css                                   | CSS        |        411 |          1 |         54 |        466 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\información\deportes.css                          | CSS        |        305 |          1 |         58 |        364 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\funcionalidades.css                         | CSS        |        585 |          1 |         72 |        658 |
| c:\xampp\htdocs\S.I.G.D\Frontend\css\roles\roles.css                                   | CSS        |        286 |          0 |         33 |        319 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\arcanet\arcanet.html                             | HTML       |         60 |          0 |         43 |        103 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\arcanet\ayuda_soporte.html                       | HTML       |         63 |          0 |         28 |         91 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\contraseña.html                      | HTML       |         69 |          4 |         34 |        107 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\basquetbol.html             | HTML       |        178 |          6 |         82 |        266 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\futbol.html                 | HTML       |        201 |          5 |         96 |        302 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\deportes\handbol.html                | HTML       |        185 |          6 |         86 |        277 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\egresados.html          | HTML       |        158 |          6 |         76 |        240 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\historia.html           | HTML       |        162 |          6 |         70 |        238 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\emt_deportes\objetivo.html           | HTML       |        152 |          6 |         67 |        225 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sigd\historia.html                   | HTML       |        157 |          6 |         49 |        212 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sigd\objetivos.html                  | HTML       |        151 |          6 |         65 |        222 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\información\sugerencias\sugerencia.html          | HTML       |        160 |          6 |         47 |        213 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\Perfil.html                  | HTML       |        214 |          4 |         51 |        269 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\administrador.html           | HTML       |        119 |          4 |         44 |        167 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_campeonato.html       | HTML       |        285 |          4 |         60 |        349 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_estadisticas.html     | HTML       |        227 |          4 |         57 |        288 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_partido.html          | HTML       |        186 |          4 |         67 |        257 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\cargar_usuarios.html         | HTML       |        194 |          5 |         52 |        251 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\crear_equipo.html            | HTML       |        175 |          4 |         42 |        221 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\eliminar_usuario.html        | HTML       |        175 |          4 |         42 |        221 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\equipo.html                  | HTML       |        313 |         12 |         68 |        393 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticajugador.html      | HTML       |        206 |          4 |         62 |        272 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticas.html            | HTML       |        217 |          4 |         60 |        281 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\estadisticas_personales.html | HTML       |        154 |          4 |         47 |        205 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\graficacomparativa.html      | HTML       |        206 |          4 |         58 |        268 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificaciones.html          | HTML       |        185 |          5 |         40 |        230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\modificar_usuario.html       | HTML       |        236 |          4 |         56 |        296 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\partidos.html                | HTML       |        303 |          4 |         50 |        357 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\torneo.html                  | HTML       |        428 |          8 |        201 |        637 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\usuarios_cargados.html       | HTML       |        154 |          4 |         39 |        197 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\validar_sancion.html         | HTML       |        178 |          3 |         46 |        227 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrador\ver_equipo.html              | HTML       |        413 |          4 |         61 |        478 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\administrativo.html         | HTML       |         87 |          4 |         43 |        134 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\cargar_usuarios.html        | HTML       |        148 |          4 |         60 |        212 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\estadisticas.html           | HTML       |        184 |          4 |         66 |        254 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\partidos.html               | HTML       |        270 |          4 |         54 |        328 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\perfil.html                 | HTML       |        177 |          5 |         53 |        235 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\torneo.html                 | HTML       |        395 |          8 |        203 |        606 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\administrativo\usuarios_cargados.html      | HTML       |        133 |          4 |         44 |        181 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\Perfil.html                       | HTML       |        180 |          4 |         46 |        230 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\analista.html                     | HTML       |         92 |          4 |         37 |        133 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_actuaciones.html           | HTML       |        196 |          4 |         54 |        254 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_campeonato.html            | HTML       |        254 |          4 |         60 |        318 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_estadisticas.html          | HTML       |        174 |          4 |         45 |        223 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\cargar_partidos.html              | HTML       |        155 |          4 |         64 |        223 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\equipo.html                       | HTML       |        382 |          4 |         58 |        444 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\estadisticas.html                 | HTML       |        186 |          4 |         60 |        250 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\partidos.html                     | HTML       |        272 |          4 |         49 |        325 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\analista\torneo.html                       | HTML       |        397 |          8 |        195 |        600 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\Perfil.html                     | HTML       |        221 |          5 |         53 |        279 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\deportista.html                 | HTML       |         89 |          4 |         37 |        130 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\equipo.html                     | HTML       |        214 |          5 |         59 |        278 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\equipo_compañeros.html          | HTML       |        278 |         11 |         69 |        358 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\estadisticas.html               | HTML       |        974 |         13 |        204 |      1,191 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\estadisticas_personales.html    | HTML       |        329 |          4 |         77 |        410 |
| c:\xampp\htdocs\S.I.G.D\Frontend\html\roles\deportista\partidos.html                   | HTML       |        121 |          4 |         49 |        174 |
